Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
2913.0886,H5N5F3Sm2,Bisected bi-antennary / Tri-antennary,5,5,3,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2913.0886,H5N5F3Sa1Sd1,Bisected bi-antennary / Tri-antennary,5,5,3,Sa1 Sd1 Ga0 Gd0,[M+Na]+,SA
2914.0726,H5N8F3,Bisected penta-antennary,5,8,3,n/a (no sialic acid),[M+Na]+,Neutral
2914.9692,H5N7S1G1Na2,Bisected tetra-antennary / Penta-antennary,5,7,0,underivatized + 2 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2915.0427,H6N5Sa2Ga1,Bisected bi-antennary / Tri-antennary,6,5,0,Sa2 Sd0 Ga1 Gd0,[M+Na]+,SA
2915.0679,H6N7F1Gd1,Bisected tetra-antennary / Penta-antennary,6,7,1,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
2915.0679,H7N7Sd1,Bisected tetra-antennary / Penta-antennary,7,7,0,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2917.0471,H7N7Gm1,Bisected tetra-antennary / Penta-antennary,7,7,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2917.0471,H6N5F2Sa1Ga1,Bisected bi-antennary / Tri-antennary,6,5,2,Sa1 Sd0 Ga1 Gd0,[M+Na]+,SA
2917.9948,H6N5S2G1,Bisected bi-antennary / Tri-antennary,6,5,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2919.0152,H6N5F2S1G1,Bisected bi-antennary / Tri-antennary,6,5,2,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2919.0392,H4N8F2S1Na1,Bisected penta-antennary,4,8,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2923.9818,H6N5S3Na1,Bisected bi-antennary / Tri-antennary,6,5,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2924.1046,H4N8F2Sd1,Bisected penta-antennary,4,8,2,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
2925.0022,H5N5F3S1G1Na1,Bisected bi-antennary / Tri-antennary,5,5,3,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2925.0022,H6N5F2S2Na1,Bisected bi-antennary / Tri-antennary,6,5,2,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2925.0998,H5N7Sd1Gd1,Bisected tetra-antennary / Penta-antennary,5,7,0,Sa0 Sd1 Ga0 Gd1,[M+Na]+,SA
2925.9974,H7N7G1Na1,Bisected tetra-antennary / Penta-antennary,7,7,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
2926.0838,H4N8F2Gm1,Bisected penta-antennary,4,8,2,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2926.0838,H5N8F1Sm1,Bisected penta-antennary,5,8,1,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
2927.0791,H6N5Sa2Sd1,Bisected bi-antennary / Tri-antennary,6,5,0,Sa2 Sd1 Ga0 Gd0,[M+Na]+,SA
2928.0631,H5N8F1Ga1,Bisected penta-antennary,5,8,1,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
2928.0631,H6N8Sa1,Bisected penta-antennary,6,8,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
2929.0471,H5N8F1G1,Bisected penta-antennary,5,8,1,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
2929.0471,H6N8S1,Bisected penta-antennary,6,8,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
